collection_id	collection_name	abundance_rank	genome_id	genome_name	relative_abundance
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958115.1	Faecalibacterium phage FP_Toutatis, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958125.1	Faecalibacterium phage FP_oengus, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	26	GCF_003442555.1	Bacteroides phage crAss001, complete genome	0.00014181757309020873
1	Gut Virome - Adult Healthy (Western Diet)	20	GCF_003443495.1	IAS virus, complete genome	0.001793801583086474
1	Gut Virome - Adult Healthy (Western Diet)	58	GCF_003456955.1	MAG: CrAssphage sp. isolate ctbg_1, complete genome	0.0005285980798983295
1	Gut Virome - Adult Healthy (Western Diet)	52	GCF_003456995.1	MAG: CrAssphage sp. isolate ctcc615, complete genome	0.0020003050592421775
1	Gut Virome - Adult Healthy (Western Diet)	121	GCF_003692515.1	Arthrobacter phage Andrew, complete genome	0.00013729886639534533
1	Gut Virome - Adult Healthy (Western Diet)	68	GCF_009734245.1	MAG: Carjivirus communis, complete genome	0.00013678672841418372
1	Gut Virome - Adult Healthy (Western Diet)	131	GCF_011757295.1	Synechococcus phage S-H34, complete genome	0.00542761459492188
1	Gut Virome - Adult Healthy (Western Diet)	84	GCF_011900995.1	Escherichia phage EC6098, complete genome	1.3232182999032407e-05
1	Gut Virome - Adult Healthy (Western Diet)	8	GCF_013387685.1	Bacteroides phage DAC15, complete genome	0.0001992792927380042
1	Gut Virome - Adult Healthy (Western Diet)	129	GCF_014824185.1	Bacillus phage Baseball_field, complete genome	0.0006449632888816828
1	Gut Virome - Adult Healthy (Western Diet)	36	GCF_015160935.1	CrAssphage cr50_1, complete genome	0.0032254088925966345
1	Gut Virome - Adult Healthy (Western Diet)	4	GCF_015160945.1	CrAssphage cr55_1, complete genome	0.0006218769050640463
1	Gut Virome - Adult Healthy (Western Diet)	18	GCF_015160955.1	CrAssphage cr107_1, complete genome	0.0004866132759012547
1	Gut Virome - Adult Healthy (Western Diet)	37	GCF_015160965.1	CrAssphage cr106_1, complete genome	0.0008140073974801544
1	Gut Virome - Adult Healthy (Western Diet)	3	GCF_015160975.1	CrAssphage cr118_1, complete genome	0.020636337499672922
1	Gut Virome - Adult Healthy (Western Diet)	15	GCF_015160985.1	CrAssphage cr1_1, complete genome	0.020737933361201465
1	Gut Virome - Adult Healthy (Western Diet)	51	GCF_015160995.1	CrAssphage cr3_1, complete genome	0.015904213812640858
1	Gut Virome - Adult Healthy (Western Diet)	39	GCF_015161005.1	CrAssphage cr10_1, complete genome	0.0061151139481715805
1	Gut Virome - Adult Healthy (Western Diet)	19	GCF_015161015.1	CrAssphage cr11_1, complete genome	0.033455926724000946
1	Gut Virome - Adult Healthy (Western Diet)	43	GCF_015161025.1	CrAssphage cr8_1, complete genome	0.0006088673476293611
1	Gut Virome - Adult Healthy (Western Diet)	62	GCF_015161035.1	CrAssphage cr108_1, complete genome	0.005488110388750306
1	Gut Virome - Adult Healthy (Western Diet)	1	GCF_015161045.1	CrAssphage cr110_1, complete genome	0.0004691209553640462
1	Gut Virome - Adult Healthy (Western Diet)	60	GCF_015161055.1	CrAssphage cr111_1, complete genome	0.0004101017636977847
1	Gut Virome - Adult Healthy (Western Diet)	54	GCF_015161065.1	CrAssphage cr112_1, complete genome	0.0005697134748432889
1	Gut Virome - Adult Healthy (Western Diet)	31	GCF_015161075.1	CrAssphage cr116_1, complete genome	0.006440938928733861
1	Gut Virome - Adult Healthy (Western Diet)	12	GCF_015161085.1	CrAssphage cr85_1, complete genome	0.0058907998394326175
1	Gut Virome - Adult Healthy (Western Diet)	71	GCF_015161095.1	CrAssphage cr126_1, complete genome	7.092841855201004e-05
1	Gut Virome - Adult Healthy (Western Diet)	30	GCF_015161105.1	CrAssphage cr128_1, complete genome	0.006884755782808356
1	Gut Virome - Adult Healthy (Western Diet)	9	GCF_015161115.1	CrAssphage cr127_1, complete genome	0.004668763467309153
1	Gut Virome - Adult Healthy (Western Diet)	10	GCF_015161125.1	CrAssphage cr271_1, complete genome	0.007522288128680358
1	Gut Virome - Adult Healthy (Western Diet)	65	GCF_015161135.1	CrAssphage cr52_1, complete genome	0.005245826178108457
1	Gut Virome - Adult Healthy (Western Diet)	44	GCF_015161145.1	CrAssphage cr53_1, complete genome	8.793948753997276e-05
1	Gut Virome - Adult Healthy (Western Diet)	61	GCF_015161155.1	CrAssphage cr56_1, complete genome	0.0006065528116278693
1	Gut Virome - Adult Healthy (Western Diet)	57	GCF_015161165.1	CrAssphage cr60_1, complete genome	0.00236556880252065
1	Gut Virome - Adult Healthy (Western Diet)	38	GCF_015161175.1	CrAssphage cr109_1, complete genome	0.000677264576080745
1	Gut Virome - Adult Healthy (Western Diet)	72	GCF_015161185.1	CrAssphage cr4_1, complete genome	0.00035056285139771693
1	Gut Virome - Adult Healthy (Western Diet)	34	GCF_015161195.1	CrAssphage cr6_1, complete genome	0.005655534374820542
1	Gut Virome - Adult Healthy (Western Diet)	40	GCF_015161205.1	CrAssphage cr7_1, complete genome	0.04455443542914529
1	Gut Virome - Adult Healthy (Western Diet)	63	GCF_015161215.1	CrAssphage cr113_1, complete genome	0.0003920742639319714
1	Gut Virome - Adult Healthy (Western Diet)	46	GCF_015161225.1	CrAssphage cr114_1, complete genome	0.010954434187360185
1	Gut Virome - Adult Healthy (Western Diet)	66	GCF_015161235.1	CrAssphage cr115_1, complete genome	0.22588826392021225
1	Gut Virome - Adult Healthy (Western Diet)	42	GCF_015161245.1	CrAssphage cr124_1, complete genome	0.005768691353345859
1	Gut Virome - Adult Healthy (Western Diet)	55	GCF_015161255.1	CrAssphage cr125_1, complete genome	0.0002021837986242414
1	Gut Virome - Adult Healthy (Western Diet)	6	GCF_015161265.1	CrAssphage cr130_1, complete genome	0.016336480133775172
1	Gut Virome - Adult Healthy (Western Diet)	21	GCF_015161275.1	CrAssphage cr131_1, complete genome	0.0007435505700783305
1	Gut Virome - Adult Healthy (Western Diet)	28	GCF_015161285.1	CrAssphage cr272_1, complete genome	0.000730024051691607
1	Gut Virome - Adult Healthy (Western Diet)	7	GCF_015161295.1	CrAssphage cr273_1, complete genome	0.002375654407802414
1	Gut Virome - Adult Healthy (Western Diet)	23	GCF_016528255.1	Bacteroides phage crAss002, complete genome	0.007385390696518081
1	Gut Virome - Adult Healthy (Western Diet)	127	GCF_018583435.1	Guangdong fish caecilians picornavirus strain GDYYC83005 polyprotein (QKL94_gp1) gene, complete cds	0.004342032104201614
1	Gut Virome - Adult Healthy (Western Diet)	120	GCF_018583485.1	Tomato leaf curl Bangladesh betasatellite strain CH7, complete sequence	0.0019053032203152078
1	Gut Virome - Adult Healthy (Western Diet)	119	GCF_018591195.1	Bearded dragon adenovirus 1 strain BD5H2, complete genome	0.0004918435535794782
1	Gut Virome - Adult Healthy (Western Diet)	95	GCF_019090025.1	Winogradskyella phage Peternella_1, complete genome	0.0006569424577620482
1	Gut Virome - Adult Healthy (Western Diet)	11	GCF_021090175.1	Uncultured phage cr49_1, complete genome	0.000669847608984186
1	Gut Virome - Adult Healthy (Western Diet)	27	GCF_021090185.1	Uncultured phage cr30_1, complete genome	0.0010642477846534745
1	Gut Virome - Adult Healthy (Western Diet)	47	GCF_021090195.1	Uncultured phage cr123_1, complete genome	0.00022907721939189726
1	Gut Virome - Adult Healthy (Western Diet)	32	GCF_021090205.1	Uncultured phage cr149_1, complete genome	1.0969785647146733e-05
1	Gut Virome - Adult Healthy (Western Diet)	33	GCF_021090215.1	Uncultured phage cr151_1, complete genome	0.0003081452468144373
1	Gut Virome - Adult Healthy (Western Diet)	16	GCF_021090225.1	Uncultured phage cr36_1, complete genome	0.006243030947117604
1	Gut Virome - Adult Healthy (Western Diet)	24	GCF_021090235.1	Uncultured phage cr91_1, complete genome	8.63706387576996e-05
1	Gut Virome - Adult Healthy (Western Diet)	69	GCF_021090245.1	Uncultured phage cr99_1, complete genome	0.004489736210730871
1	Gut Virome - Adult Healthy (Western Diet)	50	GCF_021090255.1	Uncultured phage cr77_1, complete genome	0.0006454903733865595
1	Gut Virome - Adult Healthy (Western Diet)	45	GCF_021090265.1	Uncultured phage cr44_1, complete genome	0.021517686773731105
1	Gut Virome - Adult Healthy (Western Diet)	14	GCF_021090275.1	Uncultured phage cr54_1, complete genome	0.0052377888729557825
1	Gut Virome - Adult Healthy (Western Diet)	56	GCF_021090285.1	Uncultured phage cr18_1, complete genome	0.06189563059750212
1	Gut Virome - Adult Healthy (Western Diet)	13	GCF_021090295.1	Uncultured phage cr9_1, complete genome	0.002886757825856055
1	Gut Virome - Adult Healthy (Western Diet)	35	GCF_021090305.1	Uncultured phage cr25_1, complete genome	0.0026367810062542852
1	Gut Virome - Adult Healthy (Western Diet)	73	GCF_021090315.1	Uncultured phage cr17_1, complete genome	0.0016165232918587255
1	Gut Virome - Adult Healthy (Western Diet)	49	GCF_021090325.1	Uncultured phage cr2_1, complete genome	0.0033721967694745054
1	Gut Virome - Adult Healthy (Western Diet)	41	GCF_021090335.1	Uncultured phage cr13_1, complete genome	0.0003403404784809697
1	Gut Virome - Adult Healthy (Western Diet)	53	GCF_021090345.1	Uncultured phage cr61_1, complete genome	0.0029991739723014333
1	Gut Virome - Adult Healthy (Western Diet)	64	GCF_021090355.1	Uncultured phage cr12_1, complete genome	0.007551769718523844
1	Gut Virome - Adult Healthy (Western Diet)	59	GCF_021090365.1	Uncultured phage cr105_1, complete genome	0.00032974506010119176
1	Gut Virome - Adult Healthy (Western Diet)	22	GCF_021090375.1	Uncultured phage cr19_1, complete genome	0.0027458779925755073
1	Gut Virome - Adult Healthy (Western Diet)	5	GCF_021090605.1	Uncultured phage cr150_1, complete genome	0.007087657095712337
1	Gut Virome - Adult Healthy (Western Diet)	29	GCF_021090615.1	Uncultured phage cr82_1, complete genome	0.0004040928012998516
1	Gut Virome - Adult Healthy (Western Diet)	25	GCF_021090625.1	Uncultured phage cr29_1, complete genome	0.0005866171767242488
1	Gut Virome - Adult Healthy (Western Diet)	17	GCF_021090635.1	Uncultured phage cr16_1, complete genome	0.0001874676114218227
1	Gut Virome - Adult Healthy (Western Diet)	70	GCF_021090645.1	Uncultured phage cr35_1, complete genome	0.00552614940568456
1	Gut Virome - Adult Healthy (Western Diet)	67	GCF_021090655.1	Uncultured phage cr23_1, complete genome	0.025917801583191957
1	Gut Virome - Adult Healthy (Western Diet)	134	GCF_021864135.1	Salmonella phage vB_STy-RN29, complete genome	0.0023348228880082857
1	Gut Virome - Adult Healthy (Western Diet)	133	GCF_023122935.1	Red clover associated virus 1 isolate NURH6-2017, complete genome	0.006995129124627376
1	Gut Virome - Adult Healthy (Western Diet)	124	GCF_029886495.1	Cnidium virus 1 isolate SK, complete genome	0.00038184852166707044
2	Oral Virome - Saliva (Healthy)	18	GCF_000837365.1	Streptococcus phage Sfi21, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	1	GCF_000839525.1	Chlamydia phage Chp1, complete genome	0.005848004338099358
2	Oral Virome - Saliva (Healthy)	18	GCF_000842265.1	Streptococcus phage C1, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_000843165.1	Streptococcus phage SM1, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	43	GCF_000843825.1	Suid herpesvirus 1, complete genome	0.001980492470369071
2	Oral Virome - Saliva (Healthy)	37	GCF_000844645.1	Macacine herpesvirus 5, genome	0.0069486715816986355
2	Oral Virome - Saliva (Healthy)	39	GCF_000845245.1	Human herpesvirus 5 strain Merlin, complete genome	0.0019375441091601198
2	Oral Virome - Saliva (Healthy)	18	GCF_000849625.1	Streptococcus phage Cp-1, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	19	GCF_000849665.1	Chlamydia phage Chp2, complete genome	0.10319377041015723
2	Oral Virome - Saliva (Healthy)	41	GCF_000849685.1	Tupaiid herpesvirus 1, complete genome	0.06365149746917041
2	Oral Virome - Saliva (Healthy)	45	GCF_000864925.1	Human papillomavirus type 32, complete genome	0.0005859966384054824
2	Oral Virome - Saliva (Healthy)	18	GCF_000901595.1	Streptococcus phage phiNJ2, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_000904075.1	Streptococcus phage TP-J34 complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	36	GCF_000904135.1	Caviid herpesvirus 2 strain 21222, complete genome	0.0003280214617496183
2	Oral Virome - Saliva (Healthy)	18	GCF_000911375.1	Streptococcus phage phiBHN167 complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_000921875.1	Streptococcus phage DCC1738, complete sequence	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	11	GCF_001275455.1	Chlamydia phage phiCPAR39, complete sequence	0.2664245500160786
2	Oral Virome - Saliva (Healthy)	42	GCF_001443905.1	Elephant endotheliotropic herpesvirus 4 isolate North American NAP69, complete genome	0.09866417034752008
2	Oral Virome - Saliva (Healthy)	18	GCF_001470775.1	Streptococcus phage Str-PAP-1, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	14	GCF_001504835.1	Bacteriophage phiK complete genome	0.07128462390917854
2	Oral Virome - Saliva (Healthy)	44	GCF_001714475.1	Bos taurus papillomavirus 18, complete genome	0.0295405664973883
2	Oral Virome - Saliva (Healthy)	18	GCF_001881755.1	Streptococcus phage phiARI0460-1, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	22	GCF_002601645.1	Bacteriophage Pf3 from Pseudomonas aeruginosa (New York strain), complete genome	0.0008116545975128272
2	Oral Virome - Saliva (Healthy)	18	GCF_002607465.1	Streptococcus phage 53, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_002615045.1	Streptococcus phage CHPC1151, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_002615945.1	Streptococcus phage IPP14, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_002616405.1	Streptococcus phage IPP39, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_002616645.1	Streptococcus phage IPP52, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_002616865.1	Streptococcus phage IPP65, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	30	GCF_002621025.1	Thermus phage phiOH3 genomic DNA, complete genome	0.04837915429708031
2	Oral Virome - Saliva (Healthy)	18	GCF_002621465.1	Streptococcus phage P4761, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_002621485.1	Streptococcus phage P5641, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	40	GCF_002922465.1	Ictalurid herpesvirus 2 strain 760/94, complete genome	0.000776053793710371
2	Oral Virome - Saliva (Healthy)	18	GCF_003012665.1	Streptococcus phage STP1, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	47	GCF_003033185.1	Cervus elaphus papillomavirus type 2, complete genome	0.008049311007163735
2	Oral Virome - Saliva (Healthy)	46	GCF_003179995.1	Human papillomavirus type 11 (HPV-11) complete genome	0.018078693836588854
2	Oral Virome - Saliva (Healthy)	18	GCF_003182725.1	Streptococcus phage D1024, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003865935.1	Streptococcus phage CHPC663, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003866335.1	Streptococcus phage CHPC1036, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003866675.1	Streptococcus phage CHPC1246, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003866755.1	Streptococcus phage CHPC879, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003925005.1	Streptococcus phage SW16, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003925065.1	Streptococcus phage SW2, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003925325.1	Streptococcus phage SW18, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003925465.1	Streptococcus phage SW27, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	18	GCF_003925765.1	Streptococcus phage SW24, complete genome	0.009256509490229492
2	Oral Virome - Saliva (Healthy)	38	GCF_008791745.1	Anatid herpesvirus 1 strain 2085, complete genome	0.005078448002313221
3	Skin Virome - Sebaceous Sites (Healthy)	7	GCF_000849665.1	Chlamydia phage Chp2, complete genome	9.866704837929289e-05
3	Skin Virome - Sebaceous Sites (Healthy)	10	GCF_000864925.1	Human papillomavirus type 32, complete genome	0.0005557482187319299
3	Skin Virome - Sebaceous Sites (Healthy)	13	GCF_000873085.1	KI polyomavirus Stockholm 60, complete genome	0.020453403988552363
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_000900275.1	Propionibacterium phage P100_A, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	15	GCF_000903915.1	Otomops polyomavirus KY157, complete genome	0.0015289493716774938
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_000912075.1	Propionibacterium phage PHL067M10, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	14	GCF_000928995.1	Mastomys natalensis polyomavirus 1 DNA, complete genome, isolate: NR55	0.18028480318735812
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_001041295.1	Propionibacterium phage PHL055N00, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_001041995.1	Propionibacterium phage PHL092M00, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_001190275.2	Propionibacterium phage Pirate, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_001505695.1	Propionibacterium phage PAC1, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	11	GCF_002219945.1	Ailuropoda melanoleuca papillomavirus 4 strain gpam004, complete genome	0.028057606375047634
3	Skin Virome - Sebaceous Sites (Healthy)	9	GCF_002270625.1	Sus scrofa papillomavirus 2 isolate DE1018-16, complete genome	0.06631084204378407
3	Skin Virome - Sebaceous Sites (Healthy)	4	GCF_002623205.1	Propionibacterium phage PHL194M00, complete genome	0.0734144664363315
3	Skin Virome - Sebaceous Sites (Healthy)	12	GCF_004131545.1	Gammapapillomavirus sp. isolate Gamma_w11C51, complete genome	0.18880871471214852
4	Respiratory Virome - Nasopharynx (Healthy)	39	GCF_000820495.2	Influenza B virus RNA 1, complete sequence	0.008593142811797246
4	Respiratory Virome - Nasopharynx (Healthy)	5	GCF_000839525.1	Chlamydia phage Chp1, complete genome	7.634140137473135e-05
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000845085.1	Human adenovirus C, complete genome	0.010900666598868883
4	Respiratory Virome - Nasopharynx (Healthy)	32	GCF_000845245.1	Human herpesvirus 5 strain Merlin, complete genome	0.007219257379513316
4	Respiratory Virome - Nasopharynx (Healthy)	30	GCF_000845985.1	Human adenovirus D, complete genome	0.0012643631483734473
4	Respiratory Virome - Nasopharynx (Healthy)	32	GCF_000846365.1	Human herpesvirus 6B, complete genome	0.007219257379513316
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000846685.1	Human adenovirus F, complete genome	0.010900666598868883
4	Respiratory Virome - Nasopharynx (Healthy)	9	GCF_000849665.1	Chlamydia phage Chp2, complete genome	0.00109831638489377
4	Respiratory Virome - Nasopharynx (Healthy)	40	GCF_000851145.1	Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)	0.0013403618333644742
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000857885.1	Human adenovirus type 35, complete genome	0.013357813658371933
4	Respiratory Virome - Nasopharynx (Healthy)	36	GCF_000858285.1	Human herpesvirus 3, complete genome	0.0003772232330881191
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000858645.1	Human adenovirus type 1, complete genome	0.010900666598868883
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000859665.1	Human adenovirus E, complete genome	0.010900666598868883
4	Respiratory Virome - Nasopharynx (Healthy)	11	GCF_000867905.1	Streptococcus phage SMP, complete genome	0.03794738846188638
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000884295.1	Human mastadenovirus A, complete genome	0.010900666598868883
4	Respiratory Virome - Nasopharynx (Healthy)	25	GCF_000885675.1	Human adenovirus 54, complete genome	0.010900666598868883
4	Respiratory Virome - Nasopharynx (Healthy)	11	GCF_000886415.1	Streptococcus phage PH10, complete genome	0.03794738846188638
4	Respiratory Virome - Nasopharynx (Healthy)	32	GCF_000902655.2	Murid herpesvirus 8 isolate England, complete genome	0.08966846085454054
4	Respiratory Virome - Nasopharynx (Healthy)	11	GCF_000904075.1	Streptococcus phage TP-J34 complete genome	0.03794738846188638
