genome_id	abundance	rank
GCF_002957135.1	0.00177637	74
GCF_013150875.1	0.00174456	75
GCF_004800525.1	0.00173306	76
GCF_008894185.1	0.00172050	77
GCF_002627205.1	0.00165726	78
GCF_010121005.1	0.00165439	79
GCF_004015545.1	0.00165167	80
GCF_002625645.1	0.00153936	81
GCF_002211075.1	0.00153126	82
GCF_003719095.1	0.00153076	83
GCF_002956495.1	0.00152917	84
GCF_003925205.1	0.00147463	85
GCF_017654285.1	0.00144021	86
GCF_005892205.1	0.00137789	87
GCF_029885285.1	0.00117249	88
GCF_002622645.1	0.00115994	89
GCF_011900995.1	0.00113582	90
GCF_008227445.1	0.00112068	91
GCF_004146705.1	0.00109687	92
GCF_003575905.1	0.00108764	93
GCF_002615465.1	0.00104388	94
GCF_003613605.1	0.00103752	95
GCF_002593825.1	0.00100313	96
GCF_002745915.1	0.00095508	97
GCF_023032725.1	0.00093021	98
GCF_000842425.1	0.00091066	99
GCF_000982345.1	0.00090913	100
GCF_000864545.1	0.00089623	101
GCF_014533815.1	0.00089295	102
GCF_000857925.1	0.00083531	103
GCF_000911295.1	0.00075213	104
GCF_003183345.1	0.00075098	105
GCF_000839525.1	0.00074503	106
GCF_000887015.1	0.00071198	107
GCF_001038595.1	0.00070284	108
GCF_021090225.1	0.00064030	109
GCF_020495605.1	0.00059258	110
GCF_003094215.1	0.00055537	111
GCF_016835635.1	0.00042839	112
GCF_015767195.1	0.00042509	113
GCF_000901915.1	0.00037202	114
GCF_003288695.1	0.00036454	115
GCF_011757155.1	0.00035497	116
GCF_014319925.1	0.00033316	117
GCF_002621625.1	0.00032942	118
GCF_000838865.1	0.00032684	119
GCF_029887545.1	0.00032513	120
GCF_001501195.1	0.00031777	121
GCF_002604385.1	0.00031394	122
GCF_004338395.1	0.00031157	123
GCF_000902535.1	0.00030672	124
GCF_000912395.1	0.00030116	125
GCF_002149605.1	0.00030094	126
GCF_001744995.2	0.00030085	127
GCF_003575845.1	0.00030067	128
GCF_000892535.1	0.00029691	129
GCF_000849665.1	0.00029375	130
GCF_000858305.1	0.00029074	131
GCF_013343685.1	0.00028867	132
GCF_001744055.1	0.00028381	133
GCF_000857985.1	0.00028323	134
GCF_000882755.1	0.00028069	135
GCF_003456955.1	0.00027451	136
GCF_021216265.1	0.00027427	137
GCF_002618885.1	0.00026968	138
GCF_002743575.1	0.00026305	139
GCF_004133285.1	0.00025731	140
GCF_002624425.1	0.00025419	141
GCF_000927515.1	0.00025256	142
GCF_000883495.1	0.00024979	143
GCF_001882155.1	0.00024325	144
GCF_001745995.1	0.00024064	145
GCF_011756865.1	0.00022854	146
GCF_002597625.1	0.00022097	147
GCF_000897855.1	0.00022044	148
GCF_029535565.1	0.00021694	149
GCF_001041495.1	0.00021475	150
GCF_000839985.1	0.00021274	151
GCF_000872825.1	0.00020693	152
GCF_000908895.1	0.00019611	153
GCF_002618845.1	0.00019574	154
GCF_004007315.1	0.00019254	155
GCF_000914995.1	0.00018993	156
GCF_000903755.2	0.00018925	157
GCF_000846985.1	0.00018499	158
GCF_002618965.1	0.00017913	159
GCF_009689505.1	0.00016463	160
GCF_002618925.1	0.00016411	161
GCF_014514695.1	0.00016005	162
GCF_002618865.1	0.00015908	163
GCF_003934415.1	0.00015811	164
GCF_002957655.1	0.00015184	165
GCF_009187715.1	0.00014629	166
GCF_000930595.1	0.00014219	167
GCF_000846145.1	0.00011985	168
GCF_000925855.1	0.00010895	169
GCF_001754725.1	0.00010814	170
GCF_018572795.1	0.00010347	171
GCF_003866875.1	0.00010068	172
GCF_002617845.1	0.00009689	173
GCF_004146685.1	0.00009243	174
GCF_013426425.1	0.00008270	175
GCF_002955495.1	0.00006145	176
GCF_000837165.1	0.00006092	177
GCF_002618905.1	0.00005915	178
GCF_018574455.1	0.00005858	179
GCF_002604825.1	0.00005844	180
GCF_002990725.1	0.00005841	181
GCF_020684895.1	0.00003983	182
GCF_003722835.1	0.00003930	183
GCF_002630525.1	0.00003829	184
GCF_021354635.1	0.00003353	185
GCF_002625105.1	0.00003290	186
GCF_011756445.1	0.00002861	187
GCF_002957345.1	0.00002722	188
GCF_000837805.1	0.00002517	189
GCF_010706275.1	0.00002446	190
GCF_000925715.1	0.00002330	191
GCF_000840785.1	0.00002269	192
GCF_000867865.1	0.00001924	193
GCF_002628865.1	0.00001763	194
GCF_002605525.1	0.00001398	195
GCF_002958485.1	0.00001257	196
GCF_000914555.1	0.00001160	197
GCF_006965365.1	0.00001072	198
GCF_000923575.1	0.00001031	199
GCF_009734245.1	0.00000880	200
